OrderID,CustomerID,OrderDateTime,DeliveryDateTime,TotalAmount,DeliveryStatus
1,17,11/17/2024 22:12,11/17/2024 22:27,113,Delivered
2,71,11/13/2024 10:52,11/13/2024 11:03,1170,Delivered
3,2,10/25/2024 3:06,10/25/2024 3:17,837,Delivered
4,155,10/13/2024 20:52,10/13/2024 21:05,357,Delivered
5,270,10/22/2024 5:01,10/22/2024 5:12,410,Delivered
6,108,10/24/2024 16:57,10/24/2024 17:11,1227,Delivered
7,85,11/16/2024 16:27,11/16/2024 16:42,1003,Delivered
8,278,10/3/2024 10:55,10/3/2024 11:04,661,Delivered
9,43,10/27/2024 17:00,10/27/2024 17:12,552,Delivered
10,198,11/9/2024 0:54,11/9/2024 1:10,777,Delivered
11,4,9/27/2024 21:42,9/27/2024 21:52,1005,Delivered
12,17,11/15/2024 3:32,11/15/2024 3:42,1250,Delivered
13,232,10/14/2024 22:54,10/14/2024 23:04,1051,Delivered
14,151,10/2/2024 23:27,10/2/2024 23:39,939,Delivered
15,110,10/12/2024 23:19,10/12/2024 23:30,1292,Delivered
16,201,11/9/2024 0:17,11/9/2024 0:31,188,Delivered
17,93,10/1/2024 9:48,10/1/2024 10:02,1290,Delivered
18,15,10/8/2024 0:28,10/8/2024 0:40,1193,Delivered
19,157,10/10/2024 12:19,10/10/2024 12:30,913,Delivered
20,198,11/20/2024 16:10,11/20/2024 16:19,276,Delivered
21,4,10/17/2024 9:19,,678,Cancelled
22,159,10/27/2024 15:02,10/27/2024 15:10,1352,Delivered
23,55,11/9/2024 13:05,11/9/2024 13:22,736,Delivered
24,176,10/30/2024 21:44,10/30/2024 21:55,1484,Delivered
25,269,9/28/2024 23:52,9/29/2024 0:01,1360,Delivered
26,248,10/27/2024 0:26,10/27/2024 0:36,1377,Delivered
27,291,10/19/2024 21:51,10/19/2024 22:00,880,Delivered
28,267,11/16/2024 19:42,11/16/2024 19:50,596,Delivered
29,110,10/5/2024 16:55,10/5/2024 17:08,178,Delivered
30,84,11/19/2024 15:24,11/19/2024 15:38,787,Delivered
31,79,11/23/2024 22:24,11/23/2024 22:36,1359,Delivered
32,89,11/18/2024 22:18,11/18/2024 22:26,356,Delivered
33,138,10/26/2024 1:35,10/26/2024 1:48,763,Delivered
34,4,11/1/2024 8:05,11/1/2024 8:17,638,Delivered
35,227,11/11/2024 10:36,11/11/2024 10:50,1209,Delivered
36,76,9/29/2024 8:32,9/29/2024 8:40,1499,Delivered
37,59,10/23/2024 15:36,10/23/2024 15:50,1327,Delivered
38,273,10/23/2024 3:38,10/23/2024 3:46,149,Delivered
39,179,10/20/2024 2:09,10/20/2024 2:17,549,Delivered
40,82,9/27/2024 13:44,9/27/2024 13:52,1250,Delivered
41,118,11/13/2024 22:32,11/13/2024 22:48,219,Delivered
